216323,8,70,73,803,415,,,,,800,8,70,73,75.28125,38.90625
216333,11,70,73,803,411,,,,,810,11,70,73,75.28125,38.53125
216343,15,70,73,802,408,,,,,820,15,70,73,75.1875,38.25
216352,15,70,73,803,405,,,,,829,15,70,73,75.28125,37.96875
216363,24,70,73,803,402,,,,,840,24,70,73,75.28125,37.6875
216373,30,70,73,802,398,,,,,850,30,70,73,75.1875,37.3125
216382,30,70,73,803,396,,,,,859,30,70,73,75.28125,37.125
216392,30,70,73,803,394,,,,,869,30,70,73,75.28125,36.9375
216402,30,70,73,803,392,,,,,879,30,70,73,75.28125,36.75
216413,45,70,73,803,389,,,,,890,45,70,73,75.28125,36.46875
216423,48,70,73,802,386,,,,,900,48,70,73,75.1875,36.1875
216433,50,70,73,803,381,,,,,910,50,70,73,75.28125,35.71875
216443,52,70,73,803,378,,,,,920,52,70,73,75.28125,35.4375
216453,54,70,73,803,373,,,,,930,54,70,73,75.28125,34.96875
216463,55,70,73,803,368,,,,,940,55,70,73,75.28125,34.5
216472,55,70,73,803,362,,,,,949,55,70,73,75.28125,33.9375
216483,58,70,73,802,356,,,,,960,58,70,73,75.1875,33.375
216493,58,70,73,803,351,,,,,970,58,70,73,75.28125,32.90625
216503,59,70,73,803,346,,,,,980,59,70,73,75.28125,32.4375
216513,59,70,73,802,342,,,,,990,59,70,73,75.1875,32.0625
216522,59,70,73,803,337,,,,,999,59,70,73,75.28125,31.59375
216533,59,70,73,803,333,,,,,1010,59,70,73,75.28125,31.21875
216543,59,70,73,802,329,,,,,1020,59,70,73,75.1875,30.84375
216552,59,70,73,803,325,,,,,1029,59,70,73,75.28125,30.46875
216563,58,70,73,802,322,,,,,1040,58,70,73,75.1875,30.1875
216573,56,70,73,803,319,,,,,1050,56,70,73,75.28125,29.90625
216583,54,70,73,802,317,,,,,1060,54,70,73,75.1875,29.71875
216593,52,70,73,803,313,,,,,1070,52,70,73,75.28125,29.34375
216603,49,70,73,803,310,,,,,1080,49,70,73,75.28125,29.0625
216612,49,70,73,803,308,,,,,1089,49,70,73,75.28125,28.875
216633,40,70,73,803,304,,,,,1110,40,70,73,75.28125,28.5
216642,40,70,73,803,302,,,,,1119,40,70,73,75.28125,28.3125
216653,34,70,73,803,300,,,,,1130,34,70,73,75.28125,28.125
216663,32,70,73,802,298,,,,,1140,32,70,73,75.1875,27.9375
216673,29,70,73,803,296,,,,,1150,29,70,73,75.28125,27.75
216683,27,70,73,802,293,,,,,1160,27,70,73,75.1875,27.46875
216693,24,70,73,803,292,,,,,1170,24,70,73,75.28125,27.375
216703,22,70,73,803,291,,,,,1180,22,70,73,75.28125,27.28125
216713,19,70,73,803,289,,,,,1190,19,70,73,75.28125,27.09375
216722,19,70,73,802,287,,,,,1199,19,70,73,75.1875,26.90625
216733,15,70,73,802,284,,,,,1210,15,70,73,75.1875,26.625
216743,13,70,73,802,281,,,,,1220,13,70,73,75.1875,26.34375
216753,12,70,73,802,277,,,,,1230,12,70,73,75.1875,25.96875
216763,11,70,73,802,273,,,,,1240,11,70,73,75.1875,25.59375
216773,9,70,73,803,269,,,,,1250,9,70,73,75.28125,25.21875
216783,9,70,73,802,265,,,,,1260,9,70,73,75.1875,24.84375
216793,8,70,73,803,260,,,,,1270,8,70,73,75.28125,24.375
216803,7,70,73,802,255,,,,,1280,7,70,73,75.1875,23.90625
216812,7,70,73,802,251,,,,,1289,7,70,73,75.1875,23.53125
216822,7,70,73,803,245,,,,,1299,7,70,73,75.28125,22.96875
216833,4,70,73,803,239,,,,,1310,4,70,73,75.28125,22.40625
216842,4,70,73,802,234,,,,,1319,4,70,73,75.1875,21.9375
216852,4,70,73,803,231,,,,,1329,4,70,73,75.28125,21.65625
216863,2,70,73,802,226,,,,,1340,2,70,73,75.1875,21.1875
216873,1,70,73,803,223,,,,,1350,1,70,73,75.28125,20.90625
216883,0,70,73,802,221,,,,,1360,0,70,73,75.1875,20.71875
216893,0,70,73,803,219,,,,,1370,0,70,73,75.28125,20.53125
216903,0,70,73,803,218,,,,,1380,0,70,73,75.28125,20.4375
216913,0,70,73,803,218,,,,,1390,0,70,73,75.28125,20.4375
216923,0,70,73,802,218,,,,,1400,0,70,73,75.1875,20.4375
216933,0,70,73,803,217,,,,,1410,0,70,73,75.28125,20.34375
216943,0,70,73,803,213,,,,,1420,0,70,73,75.28125,19.96875
216953,0,70,73,803,209,,,,,1430,0,70,73,75.28125,19.59375
216963,0,70,73,803,204,,,,,1440,0,70,73,75.28125,19.125
216973,0,70,73,802,199,,,,,1450,0,70,73,75.1875,18.65625
216993,0,70,73,803,198,,,,,1470,0,70,73,75.28125,18.5625
217003,0,70,73,802,198,,,,,1480,0,70,73,75.1875,18.5625
217013,0,70,73,803,198,,,,,1490,0,70,73,75.28125,18.5625
217022,0,70,73,803,198,,,,,1499,0,70,73,75.28125,18.5625
217033,0,70,73,803,197,,,,,1510,0,70,73,75.28125,18.46875
217043,0,70,73,802,198,,,,,1520,0,70,73,75.1875,18.5625
217053,0,70,73,803,198,,,,,1530,0,70,73,75.28125,18.5625
217063,0,70,73,802,198,,,,,1540,0,70,73,75.1875,18.5625
217073,0,70,73,802,198,,,,,1550,0,70,73,75.1875,18.5625
217083,0,70,73,802,197,,,,,1560,0,70,73,75.1875,18.46875
217093,0,70,73,802,198,,,,,1570,0,70,73,75.1875,18.5625
217103,0,70,73,803,198,,,,,1580,0,70,73,75.28125,18.5625
217113,0,70,73,802,198,,,,,1590,0,70,73,75.1875,18.5625
217123,0,70,73,803,196,,,,,1600,0,70,73,75.28125,18.375
217133,0,70,73,802,197,,,,,1610,0,70,73,75.1875,18.46875
217143,0,70,73,803,198,,,,,1620,0,70,73,75.28125,18.5625
217153,0,70,73,803,198,,,,,1630,0,70,73,75.28125,18.5625
217163,0,70,73,803,198,,,,,1640,0,70,73,75.28125,18.5625
217172,0,70,73,802,198,,,,,1649,0,70,73,75.1875,18.5625
217182,0,70,73,803,198,,,,,1659,0,70,73,75.28125,18.5625
217193,0,70,73,803,198,,,,,1670,0,70,73,75.28125,18.5625
217203,0,70,73,803,198,,,,,1680,0,70,73,75.28125,18.5625
217213,0,70,73,803,198,,,,,1690,0,70,73,75.28125,18.5625
217222,0,70,73,803,196,,,,,1699,0,70,73,75.28125,18.375
217233,2,70,73,803,198,,,,,1710,2,70,73,75.28125,18.5625
217242,2,70,73,803,198,,,,,1719,2,70,73,75.28125,18.5625
217252,2,70,73,803,196,,,,,1729,2,70,73,75.28125,18.375
217263,7,70,73,802,198,,,,,1740,7,70,73,75.1875,18.5625
217273,9,70,73,802,198,,,,,1750,9,70,73,75.1875,18.5625
217283,12,70,73,802,198,,,,,1760,12,70,73,75.1875,18.5625
217293,14,70,73,803,197,,,,,1770,14,70,73,75.28125,18.46875
217302,14,70,73,802,198,,,,,1779,14,70,73,75.1875,18.5625
217313,18,70,73,802,198,,,,,1790,18,70,73,75.1875,18.5625
217323,20,70,73,802,198,,,,,1800,20,70,73,75.1875,18.5625
217333,24,70,73,803,197,,,,,1810,24,70,73,75.28125,18.46875
217343,27,70,73,803,197,,,,,1820,27,70,73,75.28125,18.46875
217363,32,70,73,802,198,,,,,1840,32,70,73,75.1875,18.5625
217372,32,70,73,803,198,,,,,1849,32,70,73,75.28125,18.5625
217383,36,70,73,803,197,,,,,1860,36,70,73,75.28125,18.46875
217393,37,70,73,803,198,,,,,1870,37,70,73,75.28125,18.5625
217403,39,70,73,803,197,,,,,1880,39,70,73,75.28125,18.46875
217413,40,70,73,802,198,,,,,1890,40,70,73,75.1875,18.5625
217423,40,70,73,803,199,,,,,1900,40,70,73,75.28125,18.65625
